URL	ID	DESCRIPTION	SOURCE
http://agda.xelpaste.org/	agdapaste		lambdabot
http://aima.cs.berkeley.edu/	aima	"Artificial Intelligence: A Modern Approach" by Stuart Russell,Peter Norvig in 1995,2003,2009-12-11 at  ... <https://people.eecs.berkeley.edu/~russell/aima1e.html> (1st ed.)	lambdabot
http://aosabook.org/	aosa	The Architecture of Open Source Applications  ... 	lambdabot
http://aprove.informatik.rwth-aachen.de/	aprove		lambdabot
http://arcanux.org/lambdacats.html	\cats		lambdabot
http://darcs.haskell.org/packages/base/Control/Applicative.hs	applicative		lambdabot
http://golf.shinh.org/	anagol		lambdabot
http://haskell.org/haskellwiki/AngloHaskell	anglohaskell		lambdabot
http://katmat.math.uni-bremen.de/acc/	acc	"Abstract and Concrete Categories (The Joy of Cats)", J. Adámek, H. Herrlich, G. E. Strecker:  ... 	lambdabot
http://lukepalmer.wordpress.com/2010/01/24/haskell-antipattern-existential-typeclass/	antipattern		lambdabot
http://nealar.livejournal.com/	alar		lambdabot
http://patch-tag.com/r/stepcut/agdabot	agdabot		lambdabot
http://petdance.com/ack/	ack		lambdabot
http://research.microsoft.com/~simonpj/papers/history-of-haskell/index.htm	ahoh		lambdabot
http://web.archive.org/web/20091106041222/http://www.guldheden.com/~sandin/amalthea.html	amalthea	Implementation made by Martin Sandin of the (continuation-based) `Io' language at  ... 	lambdabot
http://wiki.portal.chalmers.se/agda/	agda	Agda2, proof assistant / dependently typed FPL, at  ... -- Agda1, earlier incarnation, at (broken) <http://www.cse.chalmers.se/~catarina/agda/>,<http://web.archive.org/web/*/http://www.cs.chalmers.se/~catarina/agda/>. Also see `Alfa',`Cayenne'	lambdabot
http://www.catb.org/~esr/jargon/html/koans.html	ai-koans	"Some AI Koans" by Danny Hillis at  ... (in The Jargon File). Also <https://www.netfunny.com/rhf/jokes/89q1/koans.285.html>	lambdabot
http://www.cs.uu.nl/wiki/HUT/AttributeGrammarSystem	ag		lambdabot
http://www.cse.chalmers.se/~hallgren/Alfa/	alfa	Proof editor, using Agda1 proof engine/checker, at  ... (broken) <http://www.cs.chalmers.se/~hallgren/untested>,<http://ogi.altocumulus.org/~hallgren/untested>,<http://ogi.altocumulus.org/~hallgren/untested/for_Linux/alfa-041029-bin-i386-Linux-RedHat9.tar.gz>,<http://ogi.altocumulus.org/~hallgren/untested/Source_code/alfa-050126.src.tar.gz>. Also see `Agda',`Fudgets',`GF'	lambdabot
http://www.cse.chalmers.se/~ulfn/papers/afp08/tutorial.pdf	agdatut		lambdabot
http://www.haskell.org/alex/	alex		lambdabot
http://www.haskell.org/ghc/docs/latest/html/users_guide/runtime-control.html#rts-options-debugging	-xc		lambdabot
http://www.haskell.org/haskellwiki/All_About_Monads	aam		lambdabot
http://www.haskell.org/haskellwiki/Bottom	_|_		lambdabot
http://www.haskell.org/haskellwiki/H-99:_Ninety-Nine_Haskell_Problems	99		lambdabot
http://www.haskell.org/haskellwiki/Learn_Haskell_in_10_minutes	10minutes		lambdabot
http://www.haskell.org/haskellwiki/The_Monad.Reader/Issue4/Why_Attribute_Grammars_Matter	agmatters		lambdabot
http://www.nondot.org/sabre/Mirrored/AdvProgLangDesign/	apld	"Advanced Programming Language Design" by Raphael Finkel in 1996 at  ... 	lambdabot
http://www.piepalace.ca/blog/asperger-test-aq-test/	aqtest		lambdabot
http://www.serpentine.com/blog/2008/02/06/the-basics-of-applicative-functors-put-to-practical-work/	applicativeparsec	and http://book.realworldhaskell.org/read/using-parsec.html#id652399	lambdabot
http://www.vex.net/~trebla/weblog/any-all-some.html	any		lambdabot
https://adventofcode.com/	aoc		lambdabot
https://argumatronic.com/posts/2019-06-21-algebra-cheatsheet.html	algebra-cheatsheet	A Brief Guide to A Few Algebraic Structures by Julie Moronuki	lambdabot
https://bugs.archlinux.org/task/54561	arch-ld-bug		lambdabot
https://drive.google.com/file/d/1OfcnkoTCxWUaTGc570oV-D8fWx30Lvtx/view	adaptive	"Adaptive Functional Programming" by Umut Acar,Blelloch,Harper in 2002 (POPL) at  ... and in 2006 (TOPLAS) at <https://drive.google.com/file/d/1bAYubdbZ9VjO_y5-DoYXKSiuyid0sX4Z/view>; <https://www.umut-acar.org/publications>	lambdabot
https://gist.github.com/pervognsen/0e1be3b683d62b16fd81	array-views	"Multi-dimensional array views for systems programmers" by pervognsen (Per Vognsen) at 2019-01-20(?) - 2019-04-30 at  ... 	lambdabot
https://github.com/quchen/articles/blob/master/algebraic-blindness.md	algebraic-blindness		lambdabot
https://neilmitchell.blogspot.se/2014/07/applicative-vs-monadic-build-systems.html	applicative-vs-monadic	"Applicative vs Monadic build systems" by ndm in 2014-07-23 at  ... . (cf. "static sequencing" vs. "dynamic sequencing")	lambdabot
https://phabricator.haskell.org/w/projects/haskell.org_infrastructure/server_admin_log/	adminlog		lambdabot
https://www.cs.ox.ac.uk/publications/books/algebra/	aop	"Algebra of Programming" by Richard Bird,Oege de Moor in 1996 at  ... <http://lambda-the-ultimate.org/node/1117>,<http://wiki.c2.com/?AlgebraOfProgramming>,<https://www.goodreads.com/book/show/2727190-algebra-of-programming>,&c.	lambdabot
https://www.fpcomplete.com/haskell/syllabus	appliedhaskell	Applied Haskell syllabus	lambdabot
